14810710,I'll remember you,2,5,8
62141760,Anicca,3,5,8
86967266,オラシオン,1,4,7
60734247,共鳴のTrue Force,4,6,9
77365068,sister’s noise,3,6,8
41508635,祝祭のエレメンタリア,3,5,8
81534354,SAVIOR OF SONG,2,7,8
36210288,閃光の行方,3,7,10
70470478,This game,2,4,8
56609128,Daydream caf,4,6,9
45787248,精霊剣舞祭<ブレイドダンス>,2,5,8
34012908,回レ！雪月花,4,7,10
66916869,天ノ弱,3,6,9
99875000,過食性:アイドル症候群,4,7,10
99178522,ケッペキショウ,4,7,10
30181123,幻想系世界修復少女,3,5,8
28201735,サリシノハラ,2,5,7
68741164,HΨ=世界創造=EΨ,3,7,10
96056690,セツナトリップ,1,5,8
93400240,脱出ゲヱム,4,6,10
18634278,にゃにゃにゃんにゃんにゃーのこねこ,1,6,9
63785813,Nyan Cat,3,6,8
45829298,ねこみみスイッチ,2,5,7
65707577,バンブーソード・ガール,4,7,9
80602109,放課後ストライド,4,6,8
42490240,僕は空気が嫁ない,3,6,8
42202774,マネマネサイコトロピック,2,5,9
26546882,ミスターデジャブ,1,5,9
78640397,ラクガキスト,4,8,9
49244856,リズの内心革命,3,6,10
77173049,恋愛勇者,3,6,9
77268773,ロストワンの号哭,3,6,10
14473288,色は匂へど 散りぬるを,3,5,7
27799434,INFINITE WORLD,3,6,8
15898917,ウサテイ,3,6,10
54642042,泡沫、哀のまほろば,3,6,8
83515710,お嫁にしなさいっ！,2,5,7
19573679,ケロ⑨destiny,2,6,9
50055100,げきオコスティックファイナリアリティぷんぷんマスタースパーク,4,7,9
29667709,最終鬼畜妹フランドール・S,4,6,10
15024477,しゅわスパ大作戦☆,2,5,8
55357486,sweet little sister,3,6,9
81006770,チルノのパーフェクトさんすう教室,2,6,8
11835242,月に叢雲華に風,4,6,8
16670741,ナイト・オブ・ナイツ,4,7,10
41070501,Bad Apple!! feat. nomico,3,6,9
79264265,Help me，ERINNNNNN!!,3,5,8
88554954,待チ人ハ来ズ。,3,5,7
81478074,魔理沙は大変なものを盗んでいきました,3,6,9
41886591,物凄い勢いでけーねが物凄いうた,3,6,8
78412320,Idola,4,7,10
74405036,カタルシスの月,3,6,9
56963446,Colorful Days ～NEWラブプラス メインテーマ～,2,5,7
70780928,狂イ咲ケ焔ノ華,4,7,10
24750461,恋する☆宇宙戦争っ！！,4,7,10
83394710,ちくわパフェだよ☆ＣＫＰ,4,7,10
40652943,†渚の小悪魔ラヴリィ～レイディオ†  ,3,7,9
77536373,ビビットストリーム,3,7,9
21221496,ミライノトビラ,3,6,8
80181486,Miracle Halloween,2,5,7
57015120,めうめうぺったんたん！！,4,7,10
35626787,凛として咲く花の如く　～ひなビタ♪edition～,3,5,8
55707036,Rainbow Magic,2,5,7
